# Lista de Revistas para Consulta de Métricas CAPES
# Formato: sigla,nome_completo,issn,qualis_2020
# O ISSN ajuda na busca precisa (formato: XXXX-XXXX)
# Linhas começando com # são ignoradas
#
SPE,SPE Journal,1086-055X,A2
TGRS,IEEE Transactions on Geoscience and Remote Sensing,0196-2892,A1
GRSL,IEEE Geoscience and Remote Sensing Letters,1545-598X,A2
GRSM,IEEE Geoscience and Remote Sensing Magazine,2473-2397,A2
SEG,Interpretation (SEG),0020-9643,B1
C&G,Computers & Geosciences,0098-3004,A1
GMD,Geoscientific Model Development,1991-9603,A1
MG,Mathematical Geosciences,1874-8961,A1
JPEPT,Journal of Petroleum Exploration and Production Technology,2190-0558,A2
JPSE,Journal of Petroleum Science and Engineering,0920-4105,A1
ATSAS,ACM Transactions on Spatial Algorithms and Systems,2374-0353,A1
DSS,Decision Support Systems,0167-9236,A1
ITNNLS,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,A1
FGCS,Future Generation Computer Systems,0167-739X,A1
RESS,Reliability Engineering & Systems Safety,0951-8320,A1
ESA,Expert Systems with Applications,0957-4174,A1
ISJ,Information Systems Journal,1350-1917,A1
IIS,IEEE Intelligent Systems,1541-1672,A1
ISF,Information Systems Frontiers,1387-3326,A1
JSIS,Journal of Strategic Information Systems,0963-8687,A1
ITPDS,IEEE Transactions on Parallel and Distributed Systems,1045-9219,A1
KBS,Knowledge-Based Systems,0950-7051,A1
IJIS,International Journal of Intelligent Systems,0884-8173,A1
JMS,Journal of Medical Systems,0148-5598,A1
ATIST,ACM Transactions on Intelligent Systems and Technology,2157-6904,A1
SCIS,Sustainable Computing: Informatics and Systems,2210-5379,A1
MSSP,Multidimensional Systems and Signal Processing,0923-6082,A1
ACME,Archives of Computational Methods in Engineering,1134-3060,A1
EC,Engineering with Computers,0177-0667,A1
RESS,Reliability Engineering & Systems Safety,0951-8320,A1
ECAM,Engineering Construction and Architectural Management,0969-9988,A1
CIE,Computers & Industrial Engineering,0360-8352,A1
ES,Engineering Structures,0141-0296,A1
CMIG,Computerized Medical Imaging and Graphics,0895-6111,A1
AIM,Artificial Intelligence in Medicine,0933-3657,A1
FTML,Foundations and Trends in Machine Learning,1935-8237,A1
ITPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,A1
MIA,Medical Image Analysis,1361-8415,A1
CG,Computers & Geosciences,0098-3004,A1
JPSE,Journal of Petroleum Science & Engineering,0920-4105,A1
